person_id,name,full_name,party,caucus_short_name,province,constituency,presence_rate,present,paired,absent,total_votes,tenure_months,years_in_house,elections_won,interventions_count,committee_interventions_count,bills_sponsored_current,committees_count,associations_count,position_leadership_score,position_leadership_rank,position_leadership_percentile,position_leadership_score_percentile_in_party,activity_index_score,activity_index_rank,activity_index_percentile,activity_index_score_percentile,activity_index_score_percentile_in_party,activity_index_score_rank,associations_count_percentile,associations_count_percentile_in_party,associations_count_rank,bills_sponsored_current_percentile,bills_sponsored_current_percentile_in_party,bills_sponsored_current_rank,chamber,committee_interventions_count_percentile,committee_interventions_count_percentile_in_party,committee_interventions_count_rank,committee_per_month,committees_count_percentile,committees_count_percentile_in_party,committees_count_rank,computed_at,interventions_count_percentile,interventions_count_percentile_in_party,interventions_count_rank,interventions_per_month,metrics_version,parliament,political_alignment_score,presence_rate_percentile,presence_rate_percentile_in_party,presence_rate_rank,session,tenure_months_percentile,tenure_months_percentile_in_party,tenure_months_rank
104806,Marie-Hélène Gaudreau,Marie-Hélène Gaudreau,Bloc Québécois,Bloc Québécois,Quebec,Laurentides—Labelle,100.0,,,,,75,,,66,298,,3,17,11.60,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110124,Caroline Desrochers,Caroline Desrochers,Liberal,Liberal,Quebec,Trois-Rivières,100.0,,,,,8,,,94,70,,1,6,26.00,,,,7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110354,Larry Brock,Larry Brock,Conservative,Conservative,Ontario,Brantford—Brant South—Six Nations,100.0,,,,,52,,,128,85,,2,16,11.44,,,,7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111109,Brendan Hanley,Brendan Hanley,Liberal,Liberal,Yukon,Yukon,100.0,,,,,52,,,27,64,2,1,17,26.00,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110339,Shafqat Ali,Shafqat Ali,Liberal,Liberal,Ontario,Brampton—Chinguacousy Park,100.0,,,,,52,,,180,25,3,,17,70.00,,,,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88384,Mélanie Joly,Mélanie Joly,Liberal,Liberal,Quebec,Ahuntsic-Cartierville,100.0,,,,,123,,,133,59,1,,2,70.00,,,,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123622,Ellis Ross,Ellis Ross,Conservative,Conservative,British Columbia,Skeena—Bulkley Valley,96.6,,,,,8,,,84,139,,2,3,10.67,,,,7.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71762,Costas Menegakis,Costas Menegakis,Conservative,Conservative,Ontario,Aurora—Oak Ridges—Richmond Hill,100.0,,,,,61,,,76,148,2,1,13,0.00,,,,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89226,Garnett Genuis,Garnett Genuis,Conservative,Conservative,Alberta,Sherwood Park—Fort Saskatchewan,100.0,,,,,123,,,223,150,5,1,12,0.00,,,,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14171,Steven Guilbeault,Steven Guilbeault,Liberal,Liberal,Quebec,Laurier—Sainte-Marie,96.6,,,,,75,,,67,49,5,,1,70.00,,,,7.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71270,Sean Casey,Sean Casey,Liberal,Liberal,Prince Edward Island,Charlottetown,100.0,,,,,176,,,13,67,2,2,14,21.33,,,,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105045,Maninder Sidhu,Maninder Sidhu,Liberal,Liberal,Ontario,Brampton East,96.6,,,,,75,,,122,12,2,,13,70.00,,,,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122899,Maggie Chi,Maggie Chi,Liberal,Liberal,Ontario,Don Valley North,100.0,,,,,8,,,51,73,,2,9,21.33,,,,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105291,Philip Lawrence,Philip Lawrence,Conservative,Conservative,Ontario,Northumberland—Clarke,100.0,,,,,75,,,72,94,3,1,17,0.00,,,,7.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58858,Robert Oliphant,Robert Oliphant,Liberal,Liberal,Ontario,Don Valley West,100.0,,,,,153,,,17,61,4,1,18,26.00,,,,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59235,Blake Richards,Blake Richards,Conservative,Conservative,Alberta,Airdrie—Cochrane,98.3,,,,,207,,,21,124,1,2,15,10.67,,,,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96356,Mona Fortier,Mona Fortier,Liberal,Liberal,Ontario,Ottawa—Vanier—Gloucester,100.0,,,,,105,,,27,35,10,2,15,21.33,,,,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123653,Wade Grant,Wade Grant,Liberal,Liberal,British Columbia,Vancouver Quadra,100.0,,,,,8,,,64,52,,2,7,22.89,,,,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72023,Taleeb Noormohamed,Taleeb Noormohamed,Liberal,Liberal,British Columbia,Vancouver Granville,100.0,,,,,52,,,31,113,,2,14,21.33,,,,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88934,Chris Bittle,Chris Bittle,Liberal,Liberal,Ontario,St. Catharines,100.0,,,,,123,,,31,297,,4,10,16.54,,,,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89098,Cathay Wagantall,Cathay Wagantall,Conservative,Conservative,Saskatchewan,Yorkton—Melville,100.0,,,,,123,,,69,95,4,1,14,0.00,,,,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30330,Tony Baldinelli,Tony Baldinelli,Conservative,Conservative,Ontario,Niagara Falls—Niagara-on-the-Lake,100.0,,,,,75,,,29,113,1,2,3,10.67,,,,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,Cheryl Gallant,Cheryl Gallant,Conservative,Conservative,Ontario,Algonquin—Renfrew—Pembroke,100.0,,,,,301,,,64,102,6,1,18,0.00,,,,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123644,Gregor Robertson,Gregor Robertson,Liberal,Liberal,British Columbia,Vancouver Fraserview—South Burnaby,96.6,,,,,8,,,255,110,,,,70.00,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58621,Alexandra Mendès,Alexandra Mendès,Liberal,Liberal,Quebec,Brossard—Saint-Lambert,100.0,,,,,153,,,441,,5,,14,50.00,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89130,Pat Kelly,Pat Kelly,Conservative,Conservative,Alberta,Calgary Crowfoot,100.0,,,,,123,,,109,118,1,1,11,0.00,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110459,Jenna Sudds,Jenna Sudds,Liberal,Liberal,Ontario,Kanata,100.0,,,,,52,,,17,65,1,2,9,21.33,,,,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25454,Andrew Scheer,Andrew Scheer,Conservative,Conservative,Saskatchewan,Regina—Qu'Appelle,96.6,,,,,258,,,73,1,3,,9,32.50,,,,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102275,Michael Barrett,Michael Barrett,Conservative,Conservative,Ontario,Leeds—Grenville—Thousand Islands—Rideau Lakes,100.0,,,,,85,,,94,111,1,2,6,0.00,,,,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25453,Francis Scarpaleggia,Francis Scarpaleggia,Liberal,Liberal,Quebec,Lac-Saint-Louis,0.0,,,,,258,,,893,,9,,9,76.00,,,,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96081,Anita Anand,Anita Anand,Liberal,Liberal,Ontario,Oakville East,100.0,,,,,75,,,47,62,7,,2,80.00,,,,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105598,Brad Redekopp,Brad Redekopp,Conservative,Conservative,Saskatchewan,Saskatoon West,94.9,,,,,75,,,99,194,1,1,8,0.00,,,,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71337,Angelo Iacono,Angelo Iacono,Liberal,Liberal,Quebec,Alfred-Pellan,100.0,,,,,123,,,27,519,,3,18,17.40,,,,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88917,John Nater,John Nater,Conservative,Conservative,Ontario,Perth—Wellington,93.2,,,,,123,,,767,,3,,8,50.00,,,,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88984,Patty Hajdu,Patty Hajdu,Liberal,Liberal,Ontario,Thunder Bay—Superior North,100.0,,,,,123,,,178,16,5,,2,70.00,,,,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105009,Annie Koutrakis,Annie Koutrakis,Liberal,Liberal,Quebec,Vimy,100.0,,,,,75,,,22,49,1,2,17,23.53,,,,6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98749,Rosemarie Falk,Rosemarie Falk,Conservative,Conservative,Saskatchewan,Battlefords—Lloydminster—Meadow Lake,100.0,,,,,97,,,40,52,1,2,8,11.76,,,,6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123382,Corey Hogan,Corey Hogan,Liberal,Liberal,Alberta,Calgary Confederation,100.0,,,,,8,,,100,37,,1,5,26.00,,,,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122656,Carlos Leitão,Carlos Leitão,Liberal,Liberal,Quebec,Marc-Aurèle-Fortin,100.0,,,,,8,,,90,39,,1,4,26.00,,,,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25524,Pierre Poilievre,Pierre Poilievre,Conservative,Conservative,Alberta,Battle River—Crowfoot,100.0,,,,,254,,,341,,4,,6,83.78,,,,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88802,Mark Gerretsen,Mark Gerretsen,Liberal,Liberal,Ontario,Kingston and the Islands,100.0,,,,,123,,,135,,2,,6,38.59,,,,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89136,Tom Kmiec,Tom Kmiec,Conservative,Conservative,Alberta,Calgary Shepard,79.7,,,,,123,,,715,,5,,6,49.00,,,,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
